,,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths
Age_Groups,,1-4 years,15-24 years,25-34 years,35-44 years,45-54 years,5-14 years,55-64 years,65-74 years,75-84 years,85+ years,< 1 year,Not Stated
State,Year,,,,,,,,,,,,
Colorado,2016.0,51.0,575.0,984.0,1253.0,2441.0,96.0,5017.0,6571.0,8550.0,11673.0,319.0,
Colorado,2017.0,58.0,553.0,1052.0,1222.0,2378.0,100.0,5059.0,6968.0,8453.0,11928.0,291.0,
Colorado,2018.0,77.0,544.0,1041.0,1330.0,2309.0,99.0,5024.0,7107.0,8708.0,11989.0,298.0,
Connecticut,1999.0,35.0,254.0,391.0,911.0,1642.0,71.0,2552.0,4990.0,9097.0,9237.0,265.0,
Connecticut,2000.0,38.0,244.0,415.0,1005.0,1732.0,64.0,2657.0,5015.0,9115.0,9562.0,282.0,
Connecticut,2001.0,36.0,266.0,389.0,1040.0,1720.0,57.0,2549.0,4710.0,9104.0,9692.0,260.0,
Connecticut,2002.0,34.0,270.0,372.0,1018.0,1771.0,56.0,2618.0,4549.0,9031.0,10123.0,274.0,
Connecticut,2003.0,36.0,267.0,330.0,951.0,1776.0,58.0,2789.0,4437.0,8603.0,10147.0,230.0,
Connecticut,2004.0,31.0,274.0,355.0,905.0,1775.0,60.0,2731.0,4228.0,8704.0,10015.0,233.0,
Connecticut,2005.0,31.0,295.0,324.0,858.0,1764.0,59.0,2743.0,4134.0,8362.0,10652.0,243.0,
Connecticut,2006.0,20.0,318.0,357.0,779.0,1794.0,38.0,2774.0,4001.0,8279.0,10638.0,260.0,
Connecticut,2007.0,39.0,274.0,338.0,717.0,1813.0,37.0,2833.0,3857.0,7879.0,10586.0,276.0,
Connecticut,2008.0,32.0,292.0,331.0,692.0,1835.0,42.0,2840.0,3834.0,7704.0,10949.0,242.0,
Connecticut,2009.0,27.0,266.0,358.0,697.0,1793.0,42.0,2890.0,4012.0,7384.0,10900.0,214.0,
Connecticut,2010.0,25.0,279.0,351.0,689.0,1770.0,33.0,2955.0,3987.0,7219.0,11181.0,199.0,
Connecticut,2011.0,33.0,256.0,363.0,618.0,1768.0,57.0,3039.0,4043.0,7331.0,11825.0,191.0,
Connecticut,2012.0,30.0,248.0,387.0,622.0,1834.0,64.0,3058.0,4127.0,6979.0,11777.0,188.0,
Connecticut,2013.0,19.0,267.0,436.0,608.0,1746.0,48.0,3142.0,4454.0,6722.0,12021.0,169.0,
Connecticut,2014.0,24.0,234.0,396.0,614.0,1724.0,28.0,3141.0,4451.0,6843.0,12227.0,176.0,
Connecticut,2015.0,16.0,248.0,476.0,624.0,1692.0,33.0,3335.0,4684.0,6845.0,12380.0,200.0,
Connecticut,2016.0,23.0,245.0,546.0,674.0,1652.0,40.0,3367.0,4839.0,6773.0,12208.0,174.0,
Connecticut,2017.0,25.0,288.0,590.0,736.0,1602.0,42.0,3374.0,5006.0,6845.0,12643.0,160.0,
Connecticut,2018.0,19.0,258.0,555.0,757.0,1624.0,43.0,3465.0,4912.0,7029.0,12421.0,147.0,
Delaware,1999.0,15.0,60.0,108.0,299.0,426.0,17.0,674.0,1450.0,1993.0,1545.0,79.0,
Delaware,2000.0,16.0,85.0,108.0,318.0,441.0,25.0,727.0,1330.0,1992.0,1731.0,102.0,
Delaware,2001.0,13.0,85.0,121.0,305.0,497.0,19.0,780.0,1337.0,2140.0,1700.0,115.0,
Delaware,2002.0,18.0,84.0,114.0,289.0,512.0,21.0,701.0,1281.0,2060.0,1685.0,96.0,
Delaware,2003.0,,101.0,118.0,271.0,576.0,13.0,751.0,1244.0,2099.0,1781.0,107.0,
Delaware,2004.0,19.0,98.0,114.0,273.0,535.0,25.0,808.0,1313.0,2044.0,1813.0,98.0,
Delaware,2005.0,14.0,80.0,124.0,256.0,560.0,13.0,860.0,1285.0,2169.0,2005.0,105.0,
Delaware,2006.0,,96.0,128.0,307.0,572.0,11.0,855.0,1240.0,1971.0,1913.0,99.0,
Delaware,2007.0,,92.0,108.0,288.0,589.0,,846.0,1243.0,2049.0,2001.0,91.0,
Delaware,2008.0,,93.0,153.0,248.0,646.0,14.0,909.0,1279.0,2047.0,2121.0,101.0,
Delaware,2009.0,,93.0,136.0,230.0,636.0,20.0,896.0,1319.0,1957.0,2149.0,91.0,
Delaware,2010.0,,98.0,129.0,237.0,627.0,14.0,960.0,1316.0,1986.0,2248.0,87.0,
Delaware,2011.0,10.0,86.0,137.0,220.0,606.0,18.0,983.0,1366.0,2084.0,2236.0,98.0,
Delaware,2012.0,14.0,89.0,169.0,219.0,622.0,16.0,998.0,1328.0,1897.0,2439.0,84.0,
Delaware,2013.0,12.0,82.0,148.0,211.0,602.0,17.0,1136.0,1385.0,1933.0,2373.0,68.0,
Delaware,2014.0,12.0,88.0,159.0,217.0,535.0,10.0,1077.0,1551.0,2049.0,2488.0,74.0,
Delaware,2015.0,13.0,90.0,180.0,230.0,547.0,,1116.0,1608.0,2096.0,2593.0,100.0,
Delaware,2016.0,,95.0,204.0,227.0,537.0,17.0,1144.0,1764.0,2166.0,2625.0,87.0,
Delaware,2017.0,13.0,105.0,213.0,250.0,567.0,13.0,1231.0,1882.0,2138.0,2694.0,72.0,
Delaware,2018.0,15.0,100.0,235.0,291.0,555.0,17.0,1163.0,1808.0,2307.0,2879.0,62.0,
District of Columbia,1999.0,14.0,124.0,177.0,387.0,646.0,13.0,717.0,1069.0,1515.0,1295.0,113.0,
District of Columbia,2000.0,15.0,115.0,185.0,398.0,633.0,13.0,733.0,1069.0,1406.0,1325.0,92.0,17.0
District of Columbia,2001.0,11.0,138.0,178.0,404.0,678.0,18.0,716.0,966.0,1474.0,1266.0,81.0,21.0
District of Columbia,2002.0,,140.0,168.0,372.0,712.0,14.0,729.0,947.0,1405.0,1257.0,85.0,16.0
District of Columbia,2003.0,,144.0,155.0,367.0,682.0,16.0,711.0,871.0,1269.0,1265.0,80.0,
District of Columbia,2004.0,,116.0,161.0,312.0,614.0,24.0,722.0,886.0,1268.0,1247.0,95.0,
District of Columbia,2005.0,10.0,123.0,148.0,289.0,642.0,11.0,756.0,843.0,1270.0,1273.0,112.0,
District of Columbia,2006.0,11.0,83.0,160.0,305.0,613.0,16.0,724.0,870.0,1237.0,1228.0,96.0,
District of Columbia,2007.0,,92.0,153.0,253.0,561.0,16.0,752.0,845.0,1075.0,1316.0,116.0,
District of Columbia,2008.0,20.0,99.0,136.0,253.0,554.0,18.0,802.0,787.0,1118.0,1254.0,99.0,
District of Columbia,2009.0,,81.0,127.0,216.0,526.0,14.0,734.0,793.0,1031.0,1218.0,89.0,
District of Columbia,2010.0,,79.0,114.0,174.0,497.0,,748.0,771.0,993.0,1209.0,72.0,
District of Columbia,2011.0,,88.0,115.0,157.0,451.0,,786.0,718.0,960.0,1235.0,70.0,
District of Columbia,2012.0,,70.0,96.0,165.0,428.0,,753.0,779.0,967.0,1301.0,75.0,
District of Columbia,2013.0,,55.0,94.0,149.0,414.0,10.0,803.0,842.0,932.0,1350.0,63.0,
District of Columbia,2014.0,11.0,55.0,102.0,171.0,433.0,,844.0,845.0,891.0,1297.0,69.0,
District of Columbia,2015.0,13.0,69.0,132.0,151.0,406.0,,907.0,892.0,918.0,1293.0,82.0,
District of Columbia,2016.0,10.0,80.0,150.0,181.0,447.0,,906.0,988.0,924.0,1274.0,70.0,
District of Columbia,2017.0,,65.0,147.0,200.0,436.0,,871.0,971.0,939.0,1247.0,77.0,
District of Columbia,2018.0,,75.0,155.0,199.0,399.0,10.0,900.0,961.0,913.0,1326.0,64.0,
Florida,1999.0,329.0,1583.0,2543.0,5702.0,9178.0,398.0,14894.0,30535.0,50049.0,46510.0,1452.0,51.0
Florida,2000.0,295.0,1741.0,2481.0,5847.0,10132.0,382.0,15079.0,30019.0,50016.0,46944.0,1425.0,34.0
Florida,2001.0,291.0,1813.0,2553.0,5873.0,10400.0,375.0,15600.0,29835.0,50846.0,48137.0,1495.0,51.0
Florida,2002.0,296.0,1880.0,2627.0,5993.0,10730.0,360.0,16137.0,28959.0,50755.0,48486.0,1548.0,43.0
Florida,2003.0,308.0,1970.0,2638.0,5883.0,11341.0,345.0,17114.0,28537.0,49784.0,49118.0,1583.0,36.0
Florida,2004.0,287.0,2006.0,2612.0,5818.0,11701.0,392.0,17524.0,28269.0,49751.0,49064.0,1537.0,47.0
Florida,2005.0,318.0,2162.0,2785.0,5803.0,12029.0,375.0,17976.0,27551.0,49481.0,50670.0,1629.0,12.0
