Date as of,First week,Last week,State,County name,FIPS County Code,Deaths involving COVID-19,Deaths from All Causes
9/30/2020,2/1/2020,9/26/2020,FL,Bay County,12005,118,"1,401"
9/30/2020,2/1/2020,9/26/2020,FL,Putnam County,12107,23,569
9/30/2020,2/1/2020,9/26/2020,FL,St. Lucie County,12111,180,"2,491"
9/30/2020,2/1/2020,9/26/2020,GA,Barrow County,13013,19,292
9/30/2020,2/1/2020,9/26/2020,GA,Chatham County,13051,202,"2,507"
9/30/2020,2/1/2020,9/26/2020,GA,Early County,13099,14,95
9/30/2020,2/1/2020,9/26/2020,GA,Emanuel County,13107,32,177
9/30/2020,2/1/2020,9/26/2020,GA,Floyd County,13115,80,"1,143"
9/30/2020,2/1/2020,9/26/2020,GA,Gwinnett County,13135,310,"2,909"
9/30/2020,2/1/2020,9/26/2020,GA,Habersham County,13137,30,271
9/30/2020,2/1/2020,9/26/2020,GA,Laurens County,13175,73,574
9/30/2020,2/1/2020,9/26/2020,GA,Mitchell County,13205,15,138
9/30/2020,2/1/2020,9/26/2020,GA,Walker County,13295,11,382
9/30/2020,2/1/2020,9/26/2020,GA,Wayne County,13305,23,221
9/30/2020,2/1/2020,9/26/2020,IA,Franklin County,19069,10,78
9/30/2020,2/1/2020,9/26/2020,IA,Plymouth County,19149,15,142
9/30/2020,2/1/2020,9/26/2020,IA,Woodbury County,19193,110,862
9/30/2020,2/1/2020,9/26/2020,ID,Ada County,16001,203,"2,750"
9/30/2020,2/1/2020,9/26/2020,IL,DeKalb County,17037,32,549
9/30/2020,2/1/2020,9/26/2020,IL,Jefferson County,17081,25,415
9/30/2020,2/1/2020,9/26/2020,IL,Macon County,17115,40,881
9/30/2020,2/1/2020,9/26/2020,IL,Morgan County,17137,18,264
9/30/2020,2/1/2020,9/26/2020,IL,Whiteside County,17195,11,398
9/30/2020,2/1/2020,9/26/2020,IN,Clark County,18019,52,738
9/30/2020,2/1/2020,9/26/2020,IN,Hamilton County,18057,106,"1,411"
9/30/2020,2/1/2020,9/26/2020,IN,La Porte County,18091,44,828
9/30/2020,2/1/2020,9/26/2020,IN,Montgomery County,18107,18,230
9/30/2020,2/1/2020,9/26/2020,IN,Noble County,18113,24,267
9/30/2020,2/1/2020,9/26/2020,IN,Shelby County,18145,27,288
9/30/2020,2/1/2020,9/26/2020,KS,Shawnee County,20177,53,"1,523"
9/30/2020,2/1/2020,9/26/2020,KY,Barren County,21009,16,373
9/30/2020,2/1/2020,9/26/2020,KY,Laurel County,21125,11,417
9/30/2020,2/1/2020,9/26/2020,KY,Pulaski County,21199,11,608
9/30/2020,2/1/2020,9/26/2020,LA,Acadia Parish,22001,55,414
9/30/2020,2/1/2020,9/26/2020,LA,East Baton Rouge Parish,22033,728,"4,188"
9/30/2020,2/1/2020,9/26/2020,LA,East Feliciana Parish,22037,10,123
9/30/2020,2/1/2020,9/26/2020,LA,Pointe Coupee Parish,22077,18,156
9/30/2020,2/1/2020,9/26/2020,LA,Vernon Parish,22115,21,237
9/30/2020,2/1/2020,9/26/2020,LA,Winn Parish,22127,17,108
9/30/2020,2/1/2020,9/26/2020,MA,Middlesex County,25017,"1,870","8,738"
9/30/2020,2/1/2020,9/26/2020,MA,Norfolk County,25021,761,"4,209"
9/30/2020,2/1/2020,9/26/2020,ME,Cumberland County,23005,88,"2,615"
9/30/2020,2/1/2020,9/26/2020,MI,Alpena County,26007,15,274
9/30/2020,2/1/2020,9/26/2020,AK,Anchorage Borough,2020,29,"1,314"
9/30/2020,2/1/2020,9/26/2020,AL,Colbert County,1033,35,425
9/30/2020,2/1/2020,9/26/2020,AL,Dallas County,1047,42,339
9/30/2020,2/1/2020,9/26/2020,AL,Franklin County,1059,13,200
9/30/2020,2/1/2020,9/26/2020,AL,Houston County,1069,197,"1,364"
9/30/2020,2/1/2020,9/26/2020,AL,Jackson County,1071,14,430
